#    distance           U             L             Ruu  Ruv  Ruw  Rvv  Rvw  Rww

  2.22045e-16      0.852293           0.000458838             0.235243   -0.00222989   0.000105192   0.000258233  -1.91618e-06     0.0669683
     0.020202       7.10805              0.112644              5.24652     -0.258183      0.012396     0.0671204  -0.000147504      0.791362
     0.040404       10.8703              0.202642              7.35198      -0.65843     0.0497028      0.321426    0.00105351       1.36556
    0.0606061       12.6446              0.236628              6.44425     -0.778514     0.0648975       0.55145    0.00137757       1.55891
    0.0808081       13.6435               0.26331              5.37319     -0.827338      0.066747      0.744964   0.000491574       1.64422
      0.10101       14.2658              0.292084              4.65435     -0.834076     0.0617017      0.855539  -0.000679911       1.65543
     0.121212       14.7291              0.322862              4.04665     -0.830698     0.0584116      0.937062   -0.00140203       1.64646
     0.141414       15.0993              0.353281              3.66053     -0.819323     0.0583572      0.974542   -0.00175271       1.62288
     0.161616       15.4102              0.383153              3.41677     -0.805428     0.0574776      0.987036   -0.00202948       1.59541
     0.181818       15.6916              0.413147              3.21976     -0.789559     0.0557369      0.989174   -0.00203103       1.56256
      0.20202       15.9508              0.443302              3.05373     -0.772071     0.0532662       0.98387    -0.0017824       1.52504
     0.222222       16.1799              0.471711              2.91594     -0.753262     0.0505201      0.970912  -0.000729978       1.48188
     0.242424       16.4048               0.49977              2.78196     -0.734291     0.0476661      0.956913   0.000398918       1.43797
     0.262626       16.6057              0.522917               2.6702     -0.714747      0.042416      0.936601    0.00118499       1.39019
     0.282828       16.8066              0.546065              2.55844     -0.695202     0.0371658       0.91629    0.00197107       1.34241
      0.30303       16.9875              0.565997              2.47371      -0.67797     0.0317369      0.896722    0.00196485       1.29935
     0.323232       17.1653              0.585434              2.39314     -0.661094     0.0262805      0.877269    0.00183667       1.25701
     0.343434       17.3363              0.603506              2.31728     -0.643667     0.0218212      0.857436    0.00157584       1.21477
     0.363636       17.4954              0.619158              2.24975     -0.625264     0.0191292      0.836927    0.00107985       1.17271
     0.383838       17.6545               0.63481              2.18222      -0.60686     0.0164373      0.816419   0.000583866       1.13065
      0.40404       17.8077              0.648196              2.11181     -0.586375       0.01424      0.794146   0.000260134         1.087
     0.424242       17.9538              0.658922                2.038     -0.563445     0.0126235      0.769801   0.000138714       1.04149
     0.444444          18.1              0.669647               1.9642     -0.540516     0.0110071      0.745455    1.7293e-05      0.995971
     0.464646       18.2443              0.680166              1.89119     -0.517757    0.00963705      0.721316  -9.79703e-05      0.951363
     0.484848       18.3729               0.68886              1.82519     -0.496506     0.0104367      0.698998  -0.000159019      0.914735
     0.505051       18.5015              0.697554               1.7592     -0.475254     0.0112363       0.67668  -0.000220068      0.878107
     0.525253       18.6301              0.706248               1.6932     -0.454003     0.0120359      0.654362  -0.000281117       0.84148
     0.545455       18.7537               0.71364              1.62794     -0.433366     0.0129641      0.633163  -0.000412745      0.806444
     0.565657       18.8592              0.716278              1.56534     -0.414968     0.0143609      0.616045  -0.000801907      0.777218
     0.585859       18.9646              0.718917              1.50274     -0.396569     0.0157578      0.598927   -0.00119107      0.747992
     0.606061       19.0701              0.721555              1.44014     -0.378171     0.0171547      0.581809   -0.00158023      0.718765
     0.626263       19.1756              0.724193              1.37755     -0.359773     0.0185516      0.564691    -0.0019694      0.689539
     0.646465       19.2643              0.721452              1.31821     -0.341378       0.01832      0.550911   -0.00223046      0.664513
     0.666667       19.3465              0.716574              1.26018     -0.322984     0.0174417      0.538455   -0.00244064      0.641154
     0.686869       19.4287              0.711697              1.20214     -0.304589     0.0165633         0.526   -0.00265083      0.617794
     0.707071       19.5108              0.706819              1.14411     -0.286195      0.015685      0.513544   -0.00286102      0.594435
     0.727273        19.593              0.701941              1.08607     -0.267801     0.0148067      0.501089   -0.00307121      0.571076
     0.747475       19.6611              0.695359                1.034     -0.248409      0.013846      0.490106   -0.00317372      0.550871
     0.767677       19.7156              0.687123             0.987714     -0.228051     0.0128053      0.480553   -0.00317176      0.533725
     0.787879       19.7701              0.678887             0.941429     -0.207692     0.0117647         0.471   -0.00316981      0.516578
     0.808081       19.8246              0.670651             0.895143     -0.187334     0.0107241      0.461446   -0.00316785      0.499432
     0.828283       19.8791              0.662416             0.848858     -0.166975    0.00968346      0.451893    -0.0031659      0.482286
     0.848485       19.9336               0.65418             0.802573     -0.146617    0.00864284      0.442339   -0.00316394       0.46514
     0.868687       19.9712              0.647529             0.770294     -0.126674    0.00754472      0.435802   -0.00310896      0.453315
     0.888889       19.9904              0.642605             0.753269     -0.107186    0.00638399       0.43255   -0.00299622      0.447284
     0.909091       20.0096              0.637681             0.736244    -0.0876973    0.00522325      0.429297   -0.00288348      0.441254
     0.929293       20.0287              0.632757             0.719219    -0.0682087    0.00406251      0.426045   -0.00277074      0.435223
     0.949495       20.0479              0.627832             0.702194    -0.0487201    0.00290178      0.422792   -0.00265801      0.429193
     0.969697       20.0671              0.622908             0.685169    -0.0292315    0.00174104       0.41954   -0.00254527      0.423162
     0.989899       20.0862              0.617984             0.668144    -0.0097429   0.000580303      0.416287   -0.00243253      0.417132
       1.0101       20.0862              0.617984             0.668144    0.00974568  -0.000580434      0.416287   -0.00243253      0.417132
       1.0303       20.0671              0.622908             0.685169     0.0292342   -0.00174117       0.41954   -0.00254527      0.423162
      1.05051       20.0479              0.627832             0.702194     0.0487228   -0.00290191      0.422792   -0.00265801      0.429193
      1.07071       20.0287              0.632756              0.71922     0.0682113   -0.00406265      0.426045   -0.00277075      0.435223
      1.09091       20.0096              0.637681             0.736245     0.0876999   -0.00522339      0.429297   -0.00288349      0.441254
      1.11111       19.9904              0.642605              0.75327      0.107188   -0.00638413       0.43255   -0.00299623      0.447285
      1.13131       19.9712              0.647529             0.770295      0.126677   -0.00754487      0.435802   -0.00310897      0.453315
      1.15152       19.9336               0.65418             0.802578      0.146619   -0.00864292       0.44234   -0.00316394      0.465142
      1.17172       19.8791              0.662416             0.848861      0.166976   -0.00968345      0.451893    -0.0031659      0.482287
      1.19192       19.8246              0.670652             0.895144      0.187334     -0.010724      0.461446   -0.00316786      0.499432
      1.21212       19.7701              0.678887             0.941427      0.207692    -0.0117645      0.470999   -0.00316983      0.516578
      1.23232       19.7156              0.687123             0.987711       0.22805     -0.012805      0.480552   -0.00317179      0.533723
      1.25253       19.6611              0.695359              1.03399      0.248407    -0.0138456      0.490105   -0.00317375      0.550868
      1.27273        19.593              0.701941              1.08606      0.267798    -0.0148063      0.501087   -0.00307126      0.571073
      1.29293       19.5108              0.706819               1.1441      0.286191    -0.0156847      0.513542   -0.00286109      0.594431
      1.31313       19.4287              0.711696              1.20213      0.304585    -0.0165631      0.525997   -0.00265092      0.617789
      1.33333       19.3465              0.716574              1.26016      0.322979    -0.0174415      0.538452   -0.00244075      0.641147
      1.35354       19.2643              0.721452               1.3182      0.341372    -0.0183199      0.550907   -0.00223058      0.664506
      1.37374       19.1756              0.724195              1.37753      0.359768    -0.0185521      0.564686   -0.00196956      0.689531
      1.39394       19.0701              0.721556              1.44013      0.378167    -0.0171552      0.581805   -0.00158037      0.718759
      1.41414       18.9646              0.718918              1.50273      0.396567    -0.0157583      0.598924   -0.00119118      0.747987
      1.43434       18.8592              0.716279              1.56533      0.414966    -0.0143614      0.616043  -0.000801983      0.777215
      1.45455       18.7537               0.71364              1.62794      0.433365    -0.0129645      0.633162  -0.000412789      0.806443
      1.47475       18.6301              0.706248               1.6932      0.454004    -0.0120363      0.654363  -0.000281154      0.841481
      1.49495       18.5015              0.697554               1.7592      0.475256    -0.0112365      0.676682  -0.000220082      0.878111
      1.51515       18.3729               0.68886               1.8252      0.496509    -0.0104367      0.699001  -0.000159011       0.91474
      1.53535       18.2443              0.680165               1.8912      0.517761   -0.00963685       0.72132  -9.79398e-05       0.95137
      1.55556          18.1              0.669646              1.96421      0.540519    -0.0110073      0.745459   1.73305e-05      0.995979
      1.57576       17.9538              0.658921              2.03801      0.563448    -0.0126237      0.769804   0.000138743       1.04149
      1.59596       17.8077              0.648196              2.11182      0.586377    -0.0142401      0.794149   0.000260156         1.087
      1.61616       17.6545              0.634809              2.18223      0.606862    -0.0164374      0.816421   0.000583886       1.13065
      1.63636       17.4954              0.619157              2.24975      0.625265    -0.0191292      0.836929    0.00107987       1.17271
      1.65657       17.3363              0.603505              2.31728      0.643668     -0.021821      0.857436    0.00157586       1.21477
      1.67677       17.1652              0.585433              2.39314      0.661094    -0.0262803      0.877269    0.00183666         1.257
